Ac,22
Ag,745
Al,967
As,784
Au,230
B,897
Ba,1922
Be,235
Bi,950
Br,1022
C,672
Ca,1309
Cd,610
Ce,140
Cl,1920
Co,731
Cr,883
Cs,1711
Cu,885
Dy,371
Er,361
Eu,51
F,3235
Fe,1486
Ga,656
Gd,355
Ge,753
H,1923
He,4
Hf,283
Hg,352
Ho,344
I,1028
In,667
Ir,56
K,2222
Kr,5
La,826
Li,3512
Lu,293
Mg,1105
Mn,1565
Mo,765
N,1221
Na,2197
Nb,807
Nd,498
Ni,541
Np,16
O,14290
Os,57
P,2729
Pa,50
Pb,748
Pd,193
Pm,16
Pr,396
Pt,192
Pu,3
Rb,1521
Re,153
Rh,103
Ru,60
S,2790
Sb,1005
Sc,411
Se,1663
Si,1303
Sm,441
Sn,730
Sr,1463
Ta,580
Tb,321
Tc,36
Te,1090
Th,144
Ti,993
Tl,713
Tm,281
U,210
V,1679
W,853
Xe,31
Y,668
Zn,907
Zr,489
